Time,TickMS,Phase,Bid,Ask,Spread,Velocity,Acceleration,Mom_Hist,Mom_Macd,Mom_Sig,Flow_MFI,Flow_DUp,Flow_DDown,Ext_VA_Vel,Ext_VA_Acc,Floating_PL,Realized_PL,Action,PosCount,ActiveSL,ActiveTP,DOM_Snapshot
2026.01.27 11:35:02,97,IDLE,1.18709,1.18715,6.3,0.43,-0.10002,-49.5,3.25,52.75,50.0,0.0,-50.0,100.13,100.27,-23.59,0.0,MimicResearch,1,1.14816,1.21936,1.18708
2026.01.27 11:35:02,770,IDLE,1.18708,1.18714,6.3,0.53002,-0.1325,-51.45,1.07,52.52,50.0,0.0,-50.0,100.13,100.27,-24.43,0.0,MimicResearch,1,1.14816,1.21936,1.18708
2026.01.27 11:35:05,455,IDLE,1.18708,1.18714,6.3,0.42882,-0.00118,-51.45,1.07,52.52,50.0,0.0,-50.0,100.13,100.27,-24.43,0.0,MimicResearch,1,1.14816,1.21936,1.18708
2026.01.27 11:35:14,955,IDLE,1.18703,1.18709,6.3,0.44836,0.01954,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:35:15,927,IDLE,1.18705,1.18711,6.3,0.41598,-0.03238,-57.28,-5.46,51.82,50.0,0.0,-50.0,100.13,100.27,-26.96,0.0,MimicResearch,1,1.14816,1.21936,1.18705
2026.01.27 11:35:19,269,IDLE,1.18704,1.1871,6.3,0.3789,-0.03708,-59.21,-7.62,51.59,50.0,0.0,-50.0,100.13,100.27,-27.8,0.0,MimicResearch,1,1.14816,1.21936,1.18704
2026.01.27 11:35:23,226,IDLE,1.18702,1.18708,6.3,0.36575,0.03486,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:23,868,IDLE,1.18704,1.18711,6.3,0.33089,-0.04801,-59.21,-7.62,51.59,50.0,0.0,-50.0,100.13,100.27,-27.8,0.0,MimicResearch,1,1.14816,1.21936,1.18704
2026.01.27 11:35:24,776,IDLE,1.18702,1.18709,6.3,0.35913,-0.00662,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:24,980,IDLE,1.18702,1.18708,6.3,0.73574,0.3766,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:25,891,IDLE,1.18702,1.18709,6.3,0.58859,-0.14715,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:26,601,IDLE,1.18702,1.18708,6.3,0.47087,-0.11772,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:30,106,IDLE,1.18702,1.18708,6.3,0.35418,-0.08855,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:30,275,IDLE,1.18703,1.18709,6.3,0.32615,-0.02803,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:35:30,451,IDLE,1.18703,1.18709,6.3,0.42866,-0.04221,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:35:30,608,IDLE,1.187,1.18706,6.3,0.44273,0.01407,-66.84,-16.2,50.64,50.0,0.0,-50.0,100.13,100.27,-31.17,0.0,MimicResearch,1,1.14816,1.21936,1.187
2026.01.27 11:35:31,259,IDLE,1.18704,1.1871,6.3,0.60754,0.28139,-59.21,-7.62,51.59,50.0,0.0,-50.0,100.13,100.27,-27.8,0.0,MimicResearch,1,1.14816,1.21936,1.18704
2026.01.27 11:35:33,867,IDLE,1.18702,1.18709,6.3,0.67237,0.06483,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:34,867,IDLE,1.18704,1.1871,6.3,0.8379,0.16553,-59.21,-7.62,51.59,50.0,0.0,-50.0,100.13,100.27,-27.8,0.0,MimicResearch,1,1.14816,1.21936,1.18704
2026.01.27 11:35:43,365,IDLE,1.18702,1.18709,6.3,0.70192,-0.13598,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:44,374,IDLE,1.18702,1.18708,6.3,0.66064,-0.04128,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:35:45,811,IDLE,1.18703,1.18709,6.2,0.59748,-0.06316,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:35:47,179,IDLE,1.18704,1.1871,6.2,0.56244,-0.03504,-59.21,-7.62,51.59,50.0,0.0,-50.0,100.13,100.27,-27.8,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:35:48,169,IDLE,1.18703,1.18709,6.2,0.44995,-0.11249,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:36:01,489,IDLE,1.18703,1.18709,6.2,0.35996,-0.08999,-61.14,-9.78,51.35,50.0,0.0,-50.0,100.13,100.27,-28.64,0.0,MimicResearch,1,1.14816,1.21936,1.18703
2026.01.27 11:36:05,205,IDLE,1.18701,1.18708,6.2,0.3516,-0.00837,-64.95,-14.07,50.88,50.0,0.0,-50.0,100.13,100.27,-30.33,0.0,MimicResearch,1,1.14816,1.21936,1.18701
2026.01.27 11:36:06,726,IDLE,1.18701,1.18707,6.2,0.35767,0.00607,-64.95,-14.07,50.88,50.0,0.0,-50.0,100.13,100.27,-30.33,0.0,MimicResearch,1,1.14816,1.21936,1.18701
2026.01.27 11:36:07,609,IDLE,1.187,1.18706,6.2,0.49951,0.14184,-66.84,-16.2,50.64,50.0,0.0,-50.0,100.13,100.27,-31.17,0.0,MimicResearch,1,1.14816,1.21936,1.187
2026.01.27 11:36:09,141,IDLE,1.18699,1.18705,6.2,0.50596,-0.02752,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:09,848,IDLE,1.18698,1.18705,6.2,0.53348,0.03397,-70.56,-20.39,50.16,50.0,0.0,-50.0,100.12,100.26,-32.86,0.0,MimicResearch,1,1.14816,1.21936,1.18698
2026.01.27 11:36:11,478,IDLE,1.18697,1.18704,6.2,0.62798,0.12202,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:11,663,IDLE,1.18699,1.18705,6.2,0.50238,-0.1256,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:16,738,IDLE,1.18697,1.18704,6.2,0.46103,-0.04135,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:17,197,IDLE,1.18699,1.18705,6.2,0.57319,0.11215,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:19,639,IDLE,1.18697,1.18704,6.2,0.6679,0.09471,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:20,712,IDLE,1.18696,1.18702,6.2,0.81158,0.14368,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
