TimeMS,BestBid,BestAsk,Velocity,Acceleration,Spread,BidV1,BidV2,BidV3,BidV4,BidV5,AskV1,AskV2,AskV3,AskV4,AskV5
5027675,25261.47,25262.97,37.90348,4.20028,150.0,25,50,1500,0,0,25,50,1500,0,0
5028514,25261.97,25263.47,41.57982,3.67634,150.0,25,50,1500,0,0,25,50,1500,0,0
5031147,25261.47,25262.97,37.05892,-4.52090,150.0,25,50,1500,0,0,25,50,1500,0,0
5031758,25260.97,25262.47,35.81047,-1.24846,150.0,25,50,1500,0,0,25,50,1500,0,0
5032573,25261.47,25262.97,28.64837,-7.16209,150.0,25,50,1500,0,0,25,50,1500,0,0
5035239,25260.47,25261.97,30.41776,1.76939,150.0,25,50,1500,0,0,25,50,1500,0,0
5048135,25261.47,25262.97,25.88520,-4.53256,150.0,25,50,1500,0,0,25,50,1500,0,0
5048515,25261.97,25263.47,22.96805,-2.91715,150.0,25,50,1500,0,0,25,50,1500,0,0
5049006,25262.47,25263.97,21.27994,-1.68811,150.0,25,50,1500,0,0,25,50,1500,0,0
5050761,25261.97,25263.47,22.77438,1.49444,150.0,25,50,1500,0,0,25,50,1500,0,0
5051125,25261.47,25262.97,27.65792,4.88354,150.0,25,50,1500,0,0,25,50,1500,0,0
5056839,25260.47,25261.97,25.62835,-2.02957,150.0,25,50,1500,0,0,25,50,1500,0,0
5058133,25259.97,25261.47,28.21873,2.59038,150.0,25,50,1500,0,0,25,50,1500,0,0
5058715,25260.47,25261.97,22.57498,-5.64375,150.0,25,50,1500,0,0,25,50,1500,0,0
5060307,25260.97,25262.47,24.33351,1.75853,150.0,25,50,1500,0,0,25,50,1500,0,0
5060940,25261.47,25262.97,28.44750,4.11399,150.0,25,50,1500,0,0,25,50,1500,0,0
5061292,25260.97,25262.47,26.65360,-1.79390,150.0,25,50,1500,0,0,25,50,1500,0,0
5061594,25261.47,25262.97,29.09289,2.43929,150.0,25,50,1500,0,0,25,50,1500,0,0
5063774,25260.97,25262.47,27.86568,-1.22721,150.0,25,50,1500,0,0,25,50,1500,0,0
5065146,25260.47,25261.97,29.57056,1.70488,150.0,25,50,1500,0,0,25,50,1500,0,0
5067286,25259.97,25261.47,28.33372,-1.23684,150.0,25,50,1500,0,0,25,50,1500,0,0
5069031,25260.47,25261.97,28.39763,0.06392,150.0,25,50,1500,0,0,25,50,1500,0,0
5075118,25259.97,25261.47,24.36014,-4.03749,150.0,25,50,1500,0,0,25,50,1500,0,0
5076430,25260.47,25261.97,27.13337,2.77323,150.0,25,50,1500,0,0,25,50,1500,0,0
5078134,25260.97,25262.47,27.57180,0.43843,150.0,25,50,1500,0,0,25,50,1500,0,0
5078766,25260.47,25261.97,22.05744,-5.51436,150.0,25,50,1500,0,0,25,50,1500,0,0
5087993,25259.47,25260.97,19.81280,-2.24464,150.0,25,50,1500,0,0,25,50,1500,0,0
5088230,25260.47,25261.97,15.85024,-3.96256,150.0,25,50,1500,0,0,25,50,1500,0,0
5089002,25259.47,25260.97,14.63676,-1.21348,150.0,25,50,1500,0,0,25,50,1500,0,0
5089936,25258.47,25259.97,35.33610,20.69935,150.0,25,50,1500,0,0,25,50,1500,0,0
5090769,25257.97,25259.47,45.17029,9.83419,150.0,25,50,1500,0,0,25,50,1500,0,0
5092122,25258.47,25259.97,43.57671,-1.59358,150.0,25,50,1500,0,0,25,50,1500,0,0
5092999,25257.97,25259.47,34.86137,-8.71534,150.0,25,50,1500,0,0,25,50,1500,0,0
5093368,25258.47,25259.97,27.88909,-6.97227,150.0,25,50,1500,0,0,25,50,1500,0,0
5096016,25258.97,25260.47,26.08771,-1.80138,150.0,25,50,1500,0,0,25,50,1500,0,0
5096281,25259.97,25261.47,31.18299,5.09528,150.0,25,50,1500,0,0,25,50,1500,0,0
5100517,25259.47,25260.97,27.30544,-3.87755,150.0,25,50,1500,0,0,25,50,1500,0,0
5101151,25259.97,25261.47,21.84435,-5.46109,150.0,25,50,1500,0,0,25,50,1500,0,0
5101371,25259.47,25260.97,19.43896,-2.40539,150.0,25,50,1500,0,0,25,50,1500,0,0
5107649,25259.97,25261.47,17.14632,-2.29264,150.0,25,50,1500,0,0,25,50,1500,0,0
5107915,25259.47,25260.97,13.71706,-3.42926,150.0,25,50,1500,0,0,25,50,1500,0,0
5116934,25258.97,25260.47,12.08377,-1.63329,150.0,25,50,1500,0,0,25,50,1500,0,0
5119780,25259.47,25260.97,13.16352,1.07975,150.0,25,50,1500,0,0,25,50,1500,0,0
5119983,25260.47,25261.97,20.32194,7.15842,150.0,25,50,1500,0,0,25,50,1500,0,0
5120882,25261.47,25262.97,52.58816,32.26622,150.0,25,50,1500,0,0,25,50,1500,0,0
5121988,25262.47,25263.97,60.20289,7.61473,150.0,25,50,1500,0,0,25,50,1500,0,0
5126944,25263.47,25264.97,52.19376,-8.00913,150.0,25,50,1500,0,0,25,50,1500,0,0
5128049,25262.97,25264.47,50.81298,-1.38078,150.0,25,50,1500,0,0,25,50,1500,0,0
5129050,25263.47,25264.97,50.64039,-0.17259,150.0,25,50,1500,0,0,25,50,1500,0,0
5130501,25262.97,25264.47,47.40887,-3.23153,150.0,25,50,1500,0,0,25,50,1500,0,0
5131325,25263.47,25264.97,37.92709,-9.48177,150.0,25,50,1500,0,0,25,50,1500,0,0
5136675,25263.47,25264.97,37.92709,-9.48177,150.0,25,50,1500,0,0,25,50,1500,0,0
5141387,25263.97,25265.47,31.33571,-6.59138,150.0,25,50,1500,0,0,25,50,1500,0,0
5143185,25264.47,25265.97,30.63650,-0.69921,150.0,25,50,1500,0,0,25,50,1500,0,0
5144291,25264.97,25266.47,33.52633,2.88983,150.0,25,50,1500,0,0,25,50,1500,0,0
5144567,25264.47,25265.97,26.82106,-6.70527,150.0,25,50,1500,0,0,25,50,1500,0,0
5145201,25263.97,25265.47,26.40735,-0.41372,150.0,25,50,1500,0,0,25,50,1500,0,0
5146031,25264.47,25265.97,21.12588,-5.28147,150.0,25,50,1500,0,0,25,50,1500,0,0
5149431,25264.47,25265.97,21.12588,-5.28147,150.0,25,50,1500,0,0,25,50,1500,0,0
5150325,25263.97,25265.47,19.22791,-1.89797,150.0,25,50,1500,0,0,25,50,1500,0,0
5154697,25264.47,25265.97,17.67013,-1.55778,150.0,25,50,1500,0,0,25,50,1500,0,0
5155697,25263.97,25265.47,24.13611,6.46597,150.0,25,50,1500,0,0,25,50,1500,0,0
