 $ sudo ./radar_env/bin/python ebpf_sniffer_v5_port_based.py
[sudo] Misi jelszava:
⚙ eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] kwin_x11 (PID: 2520) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
[TCP OUT] kwin_x11 (PID: 2520) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] kwin_x11 (PID: 2520) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport dispatch (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 61 bytes
[TCP OUT] explorer.exe (PID: 42571) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 60 bytes
[TCP OUT] expert Merkava_ (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 65 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 335 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 126 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 769 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 769 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 769 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] controller (PID: 42617) | 192.168.1.103 -> 194.164.179.199:443 | Size: 769 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] kwin_x11 (PID: 2520) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] winedevice.exe (PID: 42585) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] Xorg (PID: 2227) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] winedevice.exe (PID: 42585) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] wineserver (PID: 42551) | 192.168.1.103 -> 194.164.179.199:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport dispatch (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 61 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
[TCP OUT] ioport pool thr (PID: 42617) | 192.168.1.103 -> 18.157.151.145:443 | Size: 52 bytes
