  eBPF (BCC) 'Port-Based' kód fordítása és betöltése (Kérlek várj)...
✅ Sikeres kprobe attach: ip_local_out
📡 RED TEAM SNIFFER AKTÍV (V5 - Port-Based). Figyelt port: 443. Payload mentése ide: logs/
   Nyomj Ctrl+C-t a leállításhoz.
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 199 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 201 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 211 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 200 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 201 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 201 bytes
[TCP OUT] main (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 202 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 211 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212 bytes
[TCP OUT] expert Merkava_ (PID: 55834) | 192.168.1.103 -> 18.157.151.145:443 | Size: 212
