Time,TickMS,Action,LotSize,Bid,Ask,Spread,Velocity,Hybrid_MACD,Hybrid_Color,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Floating_PL,Realized_PL,Session_PL,PosCount,Decision_Log
2026.02.03 21:42:02,824,IDLE,0.01,4946.89000,4947.28000,38.8,26.30677,12.13610,1,-0.09000,50.00,0.00,-50.00,-4283.08,0.00,0.00,4,
2026.02.03 21:42:02,0,IDLE,0.01,4946.88000,4947.27000,38.8,26.58558,12.12753,1,-0.10000,50.00,0.00,-50.00,-4270.18,0.00,0.00,4,
2026.02.03 21:42:02,165,IDLE,0.01,4947.02000,4947.41000,38.8,24.73879,12.24753,1,8.10000,50.00,0.00,-50.00,-4450.78,0.00,0.00,4,
2026.02.03 21:42:02,588,IDLE,0.01,4947.08000,4947.47000,38.8,22.76826,12.29896,1,8.16000,50.00,0.00,-50.00,-4528.19,0.00,0.00,4,
2026.02.03 21:42:03,802,IDLE,0.01,4947.20000,4947.59000,38.8,23.94378,12.40181,1,8.28000,50.00,0.00,-50.00,-4683.00,0.00,0.00,4,
2026.02.03 21:42:03,118,IDLE,0.01,4947.23000,4947.62000,38.8,25.41620,12.42753,1,8.31000,50.00,0.00,-50.00,-4721.70,0.00,0.00,4,
2026.02.03 21:42:04,733,IDLE,0.01,4947.21000,4947.60000,38.8,22.60370,12.41038,1,8.29000,50.00,0.00,-50.00,-4695.90,0.00,0.00,4,
2026.02.03 21:42:04,954,IDLE,0.01,4947.13000,4947.52000,38.8,19.29824,12.34181,1,8.21000,50.00,0.00,-50.00,-4592.70,0.00,0.00,4,
2026.02.03 21:42:04,110,IDLE,0.01,4946.92000,4947.31000,38.8,19.71994,12.16181,1,-0.06000,50.00,0.00,-50.00,-4321.78,0.00,0.00,4,
2026.02.03 21:42:05,647,IDLE,0.01,4946.74000,4947.13000,38.8,22.18537,12.00753,1,-0.24000,50.00,0.00,-50.00,-4089.58,0.00,0.00,4,
2026.02.03 21:42:05,999,IDLE,0.01,4946.85000,4947.24000,38.8,23.11228,12.10181,1,-0.13000,50.00,0.00,-50.00,-4231.47,0.00,0.00,4,
2026.02.03 21:42:05,189,IDLE,0.01,4946.95000,4947.34000,38.8,19.04589,12.18753,1,-0.03000,50.00,0.00,-50.00,-4360.48,0.00,0.00,4,
2026.02.03 21:42:05,431,IDLE,0.01,4947.29000,4947.68000,38.8,20.83853,12.47896,1,8.37000,50.00,0.00,-50.00,-4799.11,0.00,0.00,4,
2026.02.03 21:42:05,607,IDLE,0.01,4947.25000,4947.64000,38.8,21.07964,12.44467,1,8.33000,50.00,0.00,-50.00,-4747.50,0.00,0.00,4,
2026.02.03 21:42:06,806,IDLE,0.01,4947.90000,4948.29000,38.8,36.89826,13.00181,0,8.98000,50.00,0.00,-50.00,-5586.06,0.00,0.00,4,
2026.02.03 21:42:06,969,IDLE,0.01,4948.25000,4948.64000,38.8,52.36278,13.30181,0,9.33000,50.00,0.00,-50.00,-6037.59,0.00,0.00,4,
2026.02.03 21:42:06,151,IDLE,0.01,4948.50000,4948.89000,38.8,70.51121,13.51610,0,9.58000,50.00,0.00,-50.00,-6360.11,0.00,0.00,4,
2026.02.03 21:42:06,444,IDLE,0.01,4948.48000,4948.87000,38.8,79.92676,13.49896,0,9.56000,50.00,0.00,-50.00,-6334.31,0.00,0.00,4,
2026.02.03 21:42:06,608,IDLE,0.01,4948.49000,4948.88000,38.8,88.74141,13.50753,0,9.57000,50.00,0.00,-50.00,-6347.22,0.00,0.00,4,
2026.02.03 21:42:07,808,IDLE,0.01,4948.65000,4949.04000,38.8,85.96318,13.64467,0,9.73000,50.00,0.00,-50.00,-6553.62,0.00,0.00,4,
2026.02.03 21:42:07,989,IDLE,0.01,4948.64000,4949.03000,38.8,76.42511,13.63610,0,9.72000,50.00,0.00,-50.00,-6540.74,0.00,0.00,4,
2026.02.03 21:42:07,151,IDLE,0.01,4948.62000,4949.01000,38.8,63.54009,13.61896,0,9.70000,50.00,0.00,-50.00,-6514.92,0.00,0.00,4,
2026.02.03 21:42:07,469,IDLE,0.01,4948.47000,4948.86000,38.8,51.02700,13.49038,0,9.55000,50.00,0.00,-50.00,-6321.42,0.00,0.00,4,
2026.02.03 21:42:08,924,IDLE,0.01,4948.40000,4948.79000,38.8,45.30189,13.43038,0,9.48000,50.00,0.00,-50.00,-6231.10,0.00,0.00,4,
2026.02.03 21:42:08,314,IDLE,0.01,4948.39000,4948.78000,38.8,40.20020,13.42181,0,9.47000,50.00,0.00,-50.00,-6218.20,0.00,0.00,4,
2026.02.03 21:42:08,493,IDLE,0.01,4947.97000,4948.36000,38.8,41.92579,13.06181,0,9.05000,50.00,0.00,-50.00,-5676.38,0.00,0.00,4,
2026.02.03 21:42:09,40,IDLE,0.01,4947.95000,4948.34000,38.8,41.59793,13.04467,0,9.03000,50.00,0.00,-50.00,-5650.58,0.00,0.00,4,
2026.02.03 21:42:09,343,IDLE,0.01,4947.97000,4948.36000,38.8,41.43368,13.06181,0,9.05000,50.00,0.00,-50.00,-5676.38,0.00,0.00,4,
2026.02.03 21:42:10,811,IDLE,0.01,4947.95000,4948.34000,38.8,33.45067,13.04467,0,9.03000,50.00,0.00,-50.00,-5650.54,0.00,0.00,4,
2026.02.03 21:42:10,979,IDLE,0.01,4947.17000,4947.56000,38.8,37.53494,12.37610,1,8.25000,50.00,0.00,-50.00,-4644.30,0.00,0.00,4,
2026.02.03 21:42:10,163,IDLE,0.01,4947.20000,4947.59000,38.8,43.38503,12.40181,1,8.28000,50.00,0.00,-50.00,-4682.98,0.00,0.00,4,
2026.02.03 21:42:10,562,IDLE,0.01,4947.17000,4947.56000,38.8,47.84432,12.37610,1,8.25000,50.00,0.00,-50.00,-4644.30,0.00,0.00,4,
2026.02.03 21:42:11,778,IDLE,0.01,4946.84000,4947.23000,38.8,54.02458,12.09324,1,-0.14000,50.00,0.00,-50.00,-4218.57,0.00,0.00,4,
2026.02.03 21:42:11,157,IDLE,0.01,4946.91000,4947.30000,38.8,47.63018,12.15324,1,-0.07000,50.00,0.00,-50.00,-4308.86,0.00,0.00,4,
2026.02.03 21:42:11,489,IDLE,0.01,4946.95000,4947.34000,38.8,41.87204,12.18753,1,-0.03000,50.00,0.00,-50.00,-4360.46,0.00,0.00,4,
2026.02.03 21:42:12,646,IDLE,0.01,4946.56000,4946.95000,38.9,44.74187,11.85324,1,-0.42000,50.00,0.00,-50.00,-3857.34,0.00,0.00,4,
2026.02.03 21:42:12,846,IDLE,0.01,4945.78000,4946.17000,38.9,55.64369,11.18467,1,-1.20000,50.00,0.00,-50.00,-2851.07,0.00,0.00,4,
2026.02.03 21:42:12,67,IDLE,0.01,4946.06000,4946.45000,38.9,56.62675,11.42467,1,-0.92000,50.00,0.00,-50.00,-3212.30,0.00,0.00,4,
2026.02.03 21:42:12,269,IDLE,0.01,4946.12000,4946.51000,38.9,59.51003,11.47610,1,-0.86000,50.00,0.00,-50.00,-3289.70,0.00,0.00,4,
2026.02.03 21:42:12,498,IDLE,0.01,4946.09000,4946.48000,38.9,64.68846,11.45038,1,-0.89000,50.00,0.00,-50.00,-3251.01,0.00,0.00,4,
2026.02.03 21:42:13,888,IDLE,0.01,4945.71000,4946.10000,38.9,53.09563,11.12467,1,-1.27000,50.00,0.00,-50.00,-2760.78,0.00,0.00,4,
2026.02.03 21:42:13,111,IDLE,0.01,4945.68000,4946.07000,38.9,49.74923,11.09896,1,-1.30000,50.00,0.00,-50.00,-2722.06,0.00,0.00,4,
2026.02.03 21:42:13,356,IDLE,0.01,4945.70000,4946.09000,38.9,47.53419,11.11610,1,-1.28000,50.00,0.00,-50.00,-2747.86,0.00,0.00,4,
2026.02.03 21:42:13,565,IDLE,0.01,4945.86000,4946.25000,38.9,42.33447,11.25324,1,-1.12000,50.00,0.00,-50.00,-2954.29,0.00,0.00,4,
2026.02.03 21:42:14,728,IDLE,0.01,4945.89000,4946.28000,38.9,37.11961,11.27896,1,-1.09000,50.00,0.00,-50.00,-2992.98,0.00,0.00,4,
2026.02.03 21:42:14,890,IDLE,0.01,4945.86000,4946.25000,38.9,32.68970,11.25324,1,-1.12000,50.00,0.00,-50.00,-2954.29,0.00,0.00,4,
2026.02.03 21:42:14,70,IDLE,0.01,4945.78000,4946.17000,38.9,27.33619,11.18467,1,-1.20000,50.00,0.00,-50.00,-2851.07,0.00,0.00,4,
2026.02.03 21:42:14,397,IDLE,0.01,4945.87000,4946.26000,38.9,25.13504,11.26181,1,-1.11000,50.00,0.00,-50.00,-2967.18,0.00,0.00,4,
2026.02.03 21:42:15,13,IDLE,0.01,4945.92000,4946.31000,39.0,21.17565,11.30467,1,-1.06000,50.00,0.00,-50.00,-3031.70,0.00,0.00,4,
2026.02.03 21:42:15,270,IDLE,0.01,4945.55000,4945.94000,39.0,20.77385,10.98753,1,-1.43000,50.00,0.00,-50.00,-2554.35,0.00,0.00,4,
2026.02.03 21:42:16,668,IDLE,0.01,4945.56000,4945.95000,39.0,21.49713,10.99610,1,-1.42000,50.00,0.00,-50.00,-2567.26,0.00,0.00,4,
2026.02.03 21:42:16,826,IDLE,0.01,4945.58000,4945.97000,39.0,21.25365,11.01324,1,-1.40000,50.00,0.00,-50.00,-2593.06,0.00,0.00,4,
2026.02.03 21:42:16,29,IDLE,0.01,4945.48000,4945.87000,39.0,25.66434,10.92753,1,-1.50000,50.00,0.00,-50.00,-2464.06,0.00,0.00,4,
2026.02.03 21:42:16,547,IDLE,0.01,4945.41000,4945.80000,39.0,22.72239,10.86753,1,-1.57000,50.00,0.00,-50.00,-2373.78,0.00,0.00,4,
2026.02.03 21:42:17,698,IDLE,0.01,4945.05000,4945.44000,39.0,28.08083,10.55896,1,-1.93000,50.00,0.00,-50.00,-1909.36,0.00,0.00,4,
2026.02.03 21:42:17,889,IDLE,0.01,4944.76000,4945.15000,39.0,37.93636,10.31038,1,-2.22000,50.00,0.00,-50.00,-1535.26,0.00,0.00,4,
2026.02.03 21:42:17,108,IDLE,0.01,4944.78000,4945.17000,39.0,43.32406,10.32753,1,-2.20000,50.00,0.00,-50.00,-1561.06,0.00,0.00,4,
2026.02.03 21:42:17,307,IDLE,0.01,4944.84000,4945.23000,39.0,44.68274,10.37896,1,-2.14000,50.00,0.00,-50.00,-1638.44,0.00,0.00,4,
2026.02.03 21:42:17,557,IDLE,0.01,4944.83000,4945.22000,39.0,47.24273,10.37038,1,-2.15000,50.00,0.00,-50.00,-1625.52,0.00,0.00,4,
2026.02.03 21:42:18,794,IDLE,0.01,4944.84000,4945.23000,39.0,41.63330,10.37896,1,-2.14000,50.00,0.00,-50.00,-1638.44,0.00,0.00,4,
2026.02.03 21:42:18,9,IDLE,0.01,4944.36000,4944.75000,39.0,40.43042,9.96753,1,-2.62000,50.00,0.00,-50.00,-1019.44,0.00,0.00,4,
2026.02.03 21:42:18,252,IDLE,0.01,4944.37000,4944.76000,39.0,39.51844,9.97610,1,-2.61000,50.00,0.00,-50.00,-1032.32,0.00,0.00,4,
2026.02.03 21:42:18,565,IDLE,0.01,4944.48000,4944.87000,39.0,38.55231,10.07038,1,-2.50000,50.00,0.00,-50.00,-1174.18,0.00,0.00,4,
2026.02.03 21:42:19,889,IDLE,0.01,4944.60000,4944.99000,39.0,35.21742,10.17324,1,-2.38000,50.00,0.00,-50.00,-1328.92,0.00,0.00,4,
2026.02.03 21:42:19,92,IDLE,0.01,4943.96000,4944.31000,38.9,35.93734,9.62467,1,-3.02000,50.00,0.00,-50.00,-452.04,0.00,0.00,4,
2026.02.03 21:42:19,291,IDLE,0.01,4943.95000,4944.34000,38.9,36.83457,9.61610,1,-3.03000,50.00,0.00,-50.00,-490.70,0.00,0.00,4,
2026.02.03 21:42:19,455,IDLE,0.01,4943.91000,4944.30000,38.9,37.11520,9.58181,1,-3.07000,50.00,0.00,-50.00,-439.12,0.00,0.00,4,
2026.02.03 21:42:20,708,IDLE,0.01,4943.78000,4944.17000,38.9,41.95136,9.47038,1,-3.20000,50.00,0.00,-50.00,-271.46,0.00,0.00,4,
2026.02.03 21:42:20,991,IDLE,0.01,4943.69000,4944.08000,38.9,50.06154,9.39324,1,-3.29000,50.00,0.00,-50.00,-155.41,0.00,0.00,4,
2026.02.03 21:42:20,193,IDLE,0.01,4943.76000,4944.15000,38.9,43.31602,9.45324,1,-3.22000,50.00,0.00,-50.00,-245.68,0.00,0.00,4,
2026.02.03 21:42:20,369,IDLE,0.01,4943.82000,4944.21000,38.9,37.06469,9.50467,1,-3.16000,50.00,0.00,-50.00,-323.06,0.00,0.00,4,
2026.02.03 21:42:20,528,IDLE,0.01,4943.86000,4944.25000,38.9,30.58285,9.53896,1,-3.12000,50.00,0.00,-50.00,-374.64,0.00,0.00,4,
2026.02.03 21:42:21,709,IDLE,0.01,4943.93000,4944.32000,38.9,27.46029,9.59896,1,-3.05000,50.00,0.00,-50.00,-464.92,0.00,0.00,4,
2026.02.03 21:42:21,908,IDLE,0.01,4943.95000,4944.34000,38.9,24.79921,9.61610,1,-3.03000,50.00,0.00,-50.00,-490.72,0.00,0.00,4,
2026.02.03 21:42:21,115,IDLE,0.01,4943.64000,4944.03000,38.9,20.72905,9.35038,1,-3.34000,50.00,0.00,-50.00,-90.93,0.00,0.00,4,
2026.02.03 21:42:21,371,IDLE,0.01,4943.63000,4944.02000,38.9,20.37187,9.34181,1,-3.35000,50.00,0.00,-50.00,-78.04,0.00,0.00,4,
2026.02.03 21:42:21,592,IDLE,0.01,4943.57000,4943.96000,38.9,21.74862,9.29038,1,-3.41000,50.00,0.00,-50.00,-0.65,0.00,0.00,4,
2026.02.03 21:42:22,211,IDLE,0.01,4943.66000,4944.05000,38.9,17.76386,9.36753,1,-3.32000,50.00,0.00,-50.00,-116.73,0.00,0.00,4,
2026.02.03 21:42:22,379,IDLE,0.01,4943.71000,4944.10000,38.9,15.79839,9.41038,1,-3.27000,50.00,0.00,-50.00,-181.20,0.00,0.00,4,
2026.02.03 21:42:23,687,IDLE,0.01,4943.72000,4944.11000,38.9,15.37844,9.41896,1,-3.26000,50.00,0.00,-50.00,-194.12,0.00,0.00,4,
2026.02.03 21:42:23,870,IDLE,0.01,4943.59000,4943.98000,38.9,12.61574,9.30753,1,-3.39000,50.00,0.00,-50.00,-26.46,0.00,0.00,4,
2026.02.03 21:42:23,53,IDLE,0.01,4943.56000,4943.95000,38.9,10.22949,9.28181,1,-3.42000,50.00,0.00,-50.00,12.24,0.00,0.00,4,
2026.02.03 21:42:23,215,IDLE,0.01,4943.29000,4943.68000,38.9,15.55411,9.05038,1,-3.69000,50.00,0.00,-50.00,360.43,0.00,0.00,4,
2026.02.03 21:42:23,428,IDLE,0.01,4943.28000,4943.67000,38.9,20.64157,9.04181,1,-3.70000,50.00,0.00,-50.00,373.32,0.00,0.00,4,
2026.02.03 21:42:24,643,IDLE,0.01,4943.35000,4943.74000,38.9,22.20946,9.10181,1,-3.63000,50.00,0.00,-50.00,283.06,0.00,0.00,4,
2026.02.03 21:42:24,795,IDLE,0.01,4943.37000,4943.76000,38.9,24.08526,9.11896,1,-3.61000,50.00,0.00,-50.00,257.26,0.00,0.00,4,
2026.02.03 21:42:24,957,IDLE,0.01,4943.43000,4943.82000,38.9,22.21209,9.17038,1,-3.55000,50.00,0.00,-50.00,179.88,0.00,0.00,4,
