Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Mom_Hist,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.02 14:52:28,853,ARMED,0,CRASH_RISK,4793.45000,4793.84000,38.9,100.00,100.00,4788.71000,4793.45000,4786.31000,4793.45000,56.57,25.20,28.15973,-6.57740,-0.37767,13.31,50.00,0.00,-50.00,87.56147,1308602.94,767192.19,162.44,-62402.60,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:28,8,ARMED,0,CRASH_RISK,4793.47000,4793.86000,38.9,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.47000,56.58,25.37,23.17608,-4.98365,-0.36053,13.33,50.00,0.00,-50.00,87.70464,1308602.94,767192.19,162.44,-62402.67,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:29,215,ARMED,0,UNDER_PRESSURE,4793.44000,4793.83000,38.9,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.44000,56.56,25.11,18.54086,-4.63522,-0.38624,13.30,50.00,0.00,-50.00,87.48978,1308602.94,767192.19,162.44,-62402.22,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:29,474,POST_ANALYSIS,0,UNDER_PRESSURE,4793.03000,4793.42000,38.9,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.03000,56.29,21.52,16.78651,-1.75435,-0.73767,12.89,50.00,0.00,-50.00,84.49142,1308602.94,767192.19,162.44,-62402.07,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,TRAP_FIRED;
2026.02.02 14:52:29,631,ACTIVE_HOLD,0,UNDER_PRESSURE,4793.02000,4793.41000,38.9,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.02000,56.28,21.43,16.83423,0.04772,-0.74624,12.88,50.00,0.00,-50.00,84.41688,1308602.94,767192.19,162.44,-62401.86,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:29,811,ACTIVE_HOLD,0,UNDER_PRESSURE,4793.16000,4793.55000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.16000,56.37,22.66,14.23839,-2.59584,-0.62624,13.02,50.00,0.00,-50.00,85.45444,1308602.94,767192.19,162.44,-62398.48,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:30,477,ACTIVE_HOLD,0,UNDER_PRESSURE,4793.28000,4793.67000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4793.28000,56.45,23.71,16.36089,2.12250,-0.52338,13.14,50.00,0.00,-50.00,86.33330,1308602.94,767192.19,162.44,-62395.99,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:30,646,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.90000,4793.29000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.90000,56.20,20.37,15.44165,-0.91924,-0.84910,12.76,50.00,0.00,-50.00,83.51725,1308602.94,767192.19,162.44,-62397.40,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:30,866,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.96000,4793.35000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.96000,56.24,20.90,16.13404,0.69239,-0.79767,12.82,50.00,0.00,-50.00,83.96824,1308602.94,767192.19,162.44,-62396.75,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:30,147,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.94000,4793.33000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.94000,56.23,20.73,16.21550,0.08146,-0.81481,12.80,50.00,0.00,-50.00,83.81817,1308602.94,767192.19,162.44,-62396.72,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
