Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.03 22:34:09,392,IDLE,0,WINNING,4946.55000,4946.94000,39.1,100.00,100.00,4944.29000,4946.55000,4944.29000,4946.55000,63.58,96.33,17.88433,-0.26940,7.29252,2.26,50.00,-15.94,-50.00,1275808.66,239309.04,533.48,866.88,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:10,86,IDLE,0,WINNING,4946.56000,4946.95000,39.1,100.00,100.00,4944.29000,4946.56000,4944.29000,4946.56000,63.59,96.42,16.46044,-1.42389,7.30109,2.27,50.00,-15.76,-50.00,1275808.66,239309.04,533.49,876.54,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:10,201,IDLE,0,WINNING,4946.57000,4946.96000,38.6,0.00,0.00,4944.29000,4946.57000,4944.29000,4946.57000,63.60,96.51,15.29714,-1.16330,7.30966,2.28,50.00,-15.57,-50.00,1275808.66,239309.04,533.49,886.20,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:10,674,IDLE,0,WINNING,4946.62000,4947.01000,38.6,100.00,100.00,4944.29000,4946.62000,4944.29000,4946.62000,63.63,96.96,13.32976,-1.96738,7.35252,2.33,50.00,-15.39,-50.00,1275808.66,239309.04,533.51,934.55,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:11,917,IDLE,0,WINNING,4946.40000,4946.79000,38.6,0.00,0.00,4944.29000,4946.62000,4944.29000,4946.40000,63.48,94.96,12.63102,-0.69874,7.16394,2.11,50.00,-16.20,-50.00,1275808.66,239309.04,533.42,721.86,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:11,430,IDLE,0,WINNING,4946.56000,4946.95000,38.6,100.00,100.00,4944.29000,4946.62000,4944.29000,4946.56000,63.59,96.42,10.26742,-2.36360,7.30109,2.27,50.00,-15.31,-50.00,1275808.66,239309.04,533.49,876.54,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:12,843,IDLE,0,WINNING,4946.50000,4946.89000,38.6,0.00,0.00,4944.29000,4946.62000,4944.29000,4946.50000,63.55,95.87,10.26697,-0.00045,7.24966,2.21,50.00,-15.43,-50.00,1275808.66,239309.04,533.46,818.54,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:12,91,IDLE,0,WINNING,4945.85000,4946.24000,38.7,0.00,0.00,4944.29000,4946.62000,4944.29000,4945.85000,63.09,89.90,17.58325,7.31628,6.69252,1.56,50.00,-18.50,-50.00,1275808.66,239309.04,533.20,190.05,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:12,554,IDLE,0,WINNING,4945.88000,4946.27000,38.7,100.00,100.00,4944.29000,4946.62000,4944.29000,4945.88000,63.11,90.17,26.17702,8.59377,6.71823,1.59,50.00,-18.28,-50.00,1275808.66,239309.04,533.21,219.07,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:13,711,IDLE,0,WINNING,4945.94000,4946.33000,38.7,0.00,0.00,4944.29000,4946.62000,4944.29000,4945.94000,63.16,90.73,30.62912,4.45210,6.76966,1.65,50.00,-17.90,-50.00,1275808.66,239309.04,533.24,277.08,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:13,258,IDLE,0,WINNING,4945.97000,4946.36000,38.7,0.00,0.00,4944.29000,4946.62000,4944.29000,4945.97000,63.18,91.01,26.55985,-4.06927,6.79537,1.68,50.00,-17.66,-50.00,1275808.66,239309.04,533.25,306.10,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:13,549,IDLE,0,WINNING,4945.98000,4946.37000,38.7,100.00,100.00,4944.29000,4946.62000,4944.29000,4945.98000,63.19,91.10,23.03237,-3.52748,6.80394,1.69,50.00,-17.53,-50.00,1275808.66,239309.04,533.25,315.77,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:14,154,IDLE,0,WINNING,4946.02000,4946.41000,38.7,100.00,100.00,4944.29000,4946.62000,4944.29000,4946.02000,63.21,91.47,19.53701,-3.49536,6.83823,1.73,50.00,-17.21,-50.00,1275808.66,239309.04,533.27,354.44,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:14,313,IDLE,0,WINNING,4946.10000,4946.49000,38.7,0.00,0.00,4944.29000,4946.62000,4944.29000,4946.10000,63.27,92.20,18.09640,-1.44061,6.90680,1.81,50.00,-16.65,-50.00,1275808.66,239309.04,533.30,431.81,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:14,492,IDLE,0,WINNING,4946.11000,4946.50000,38.8,100.00,100.00,4944.29000,4946.62000,4944.29000,4946.11000,63.28,92.30,16.74800,-1.34840,6.91537,1.82,50.00,-16.49,-50.00,1275808.66,239309.04,533.31,441.49,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:14,654,IDLE,0,WINNING,4946.23000,4946.62000,38.8,0.00,0.00,4944.29000,4946.62000,4944.29000,4946.23000,63.36,93.40,17.91920,1.17120,7.01823,1.94,50.00,-15.65,-50.00,1275808.66,239309.04,533.35,557.51,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:15,33,IDLE,0,WINNING,4946.80000,4947.15000,38.7,300.00,100.00,4944.29000,4946.80000,4944.29000,4946.80000,63.76,98.60,25.11703,7.19783,7.50680,2.51,50.00,-13.04,-50.00,1275808.66,239309.04,533.59,1108.56,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:15,195,IDLE,0,WINNING,4947.26000,4947.65000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4947.26000,64.07,102.74,43.82568,18.70865,7.90109,2.97,50.00,-12.86,-50.00,1275808.66,239309.04,533.77,1553.28,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:15,458,IDLE,0,WINNING,4947.10000,4947.49000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4947.10000,63.96,101.30,52.54306,8.71738,7.76394,2.81,50.00,-13.52,-50.00,1275808.66,239309.04,533.71,1398.57,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:16,707,IDLE,0,WINNING,4946.52000,4946.91000,38.8,0.00,0.00,4944.29000,4947.26000,4944.29000,4946.52000,63.56,96.05,47.55300,-4.99006,7.26680,2.23,50.00,-16.47,-50.00,1275808.66,239309.04,533.47,837.86,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:16,914,IDLE,0,WINNING,4946.60000,4946.99000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.60000,63.62,96.78,43.92008,-3.63292,7.33537,2.31,50.00,-15.94,-50.00,1275808.66,239309.04,533.50,915.20,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:16,202,IDLE,0,WINNING,4946.61000,4947.00000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.61000,63.63,96.87,48.05853,4.13845,7.34394,2.32,50.00,-15.78,-50.00,1275808.66,239309.04,533.51,924.86,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:16,356,IDLE,0,WINNING,4946.55000,4946.94000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.55000,63.58,96.33,50.68820,2.62967,7.29252,2.26,50.00,-16.02,-50.00,1275808.66,239309.04,533.48,866.85,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:17,900,IDLE,0,WINNING,4946.58000,4946.97000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.58000,63.61,96.60,41.55475,-9.13346,7.31823,2.29,50.00,-15.75,-50.00,1275808.66,239309.04,533.50,895.86,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:17,78,IDLE,0,WINNING,4946.55000,4946.94000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.55000,63.58,96.33,34.10217,-7.45258,7.29252,2.26,50.00,-15.83,-50.00,1275808.66,239309.04,533.48,866.85,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:18,722,IDLE,0,WINNING,4946.41000,4946.80000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.41000,63.49,95.05,29.33001,-4.77215,7.17252,2.12,50.00,-16.59,-50.00,1275808.66,239309.04,533.43,731.51,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:18,944,IDLE,0,WINNING,4946.33000,4946.72000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.33000,63.43,94.32,28.25328,-1.07673,7.10394,2.04,50.00,-17.01,-50.00,1275808.66,239309.04,533.40,654.17,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:18,333,IDLE,0,WINNING,4946.42000,4946.81000,38.8,0.00,0.00,4944.29000,4947.26000,4944.29000,4946.42000,63.49,95.14,24.67434,-3.57894,7.18109,2.13,50.00,-16.37,-50.00,1275808.66,239309.04,533.43,741.17,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:18,570,IDLE,0,WINNING,4946.45000,4946.84000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.45000,63.52,95.41,21.07995,-3.59439,7.20680,2.16,50.00,-16.10,-50.00,1275808.66,239309.04,533.44,770.16,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:19,734,IDLE,0,WINNING,4946.58000,4946.97000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.58000,63.61,96.60,20.22365,-0.85631,7.31823,2.29,50.00,-15.16,-50.00,1275808.66,239309.04,533.50,895.83,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:19,937,IDLE,0,WINNING,4946.57000,4946.96000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.57000,63.60,96.51,18.81266,-1.41098,7.30966,2.28,50.00,-15.13,-50.00,1275808.66,239309.04,533.49,886.16,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
2026.02.03 22:34:19,93,IDLE,0,WINNING,4946.60000,4946.99000,38.8,100.00,100.00,4944.29000,4947.26000,4944.29000,4946.60000,63.62,96.78,19.74578,0.93312,7.33537,2.31,50.00,-14.83,-50.00,1275808.66,239309.04,533.50,915.17,0.00,0.00,3,BUY,0.03,B:0.00/0.00|B:0.00/0.00|B:0.00/0.00|...,NONE,
