Time,Open,High,Low,Close,Volume
2025.12.12 03:44:00,155.592,155.605,155.585,155.585,32
2025.12.12 03:45:00,155.586,155.586,155.577,155.579,24
2025.12.12 03:46:00,155.579,155.591,155.577,155.588,34
2025.12.12 03:47:00,155.588,155.62,155.588,155.62,23
2025.12.12 03:48:00,155.618,155.633,155.614,155.628,63
2025.12.12 03:49:00,155.628,155.666,155.623,155.647,59
2025.12.12 03:50:00,155.647,155.665,155.647,155.66,35
2025.12.12 03:51:00,155.659,155.659,155.639,155.655,43
2025.12.12 03:52:00,155.654,155.661,155.642,155.66,28
2025.12.12 03:53:00,155.66,155.7,155.66,155.691,36
2025.12.12 03:54:00,155.69,155.705,155.69,155.704,23
2025.12.12 03:55:00,155.703,155.706,155.681,155.685,45
2025.12.12 03:56:00,155.685,155.685,155.667,155.667,14
2025.12.12 03:57:00,155.667,155.668,155.651,155.662,76
2025.12.12 03:58:00,155.661,155.673,155.656,155.666,62
2025.12.12 03:59:00,155.666,155.677,155.663,155.665,65
2025.12.12 04:00:00,155.665,155.677,155.651,155.677,36
2025.12.12 04:01:00,155.677,155.677,155.657,155.663,46
2025.12.12 04:02:00,155.665,155.669,155.663,155.669,35
2025.12.12 04:03:00,155.667,155.688,155.665,155.676,53
2025.12.12 04:04:00,155.677,155.704,155.677,155.7,41
2025.12.12 04:05:00,155.702,155.702,155.674,155.675,48
2025.12.12 04:06:00,155.679,155.692,155.679,155.689,31
2025.12.12 04:07:00,155.689,155.691,155.677,155.679,51
2025.12.12 04:08:00,155.679,155.697,155.677,155.679,33
2025.12.12 04:09:00,155.679,155.689,155.677,155.677,36
2025.12.12 04:10:00,155.677,155.679,155.662,155.663,44
2025.12.12 04:11:00,155.663,155.667,155.654,155.663,59
2025.12.12 04:12:00,155.663,155.67,155.655,155.655,33
2025.12.12 04:13:00,155.655,155.698,155.654,155.698,43
2025.12.12 04:14:00,155.699,155.703,155.684,155.684,26
2025.12.12 04:15:00,155.684,155.687,155.673,155.685,22
2025.12.12 04:16:00,155.685,155.724,155.685,155.723,31
2025.12.12 04:17:00,155.722,155.723,155.697,155.697,39
2025.12.12 04:18:00,155.697,155.702,155.684,155.702,33
2025.12.12 04:19:00,155.702,155.718,155.701,155.716,46
2025.12.12 04:20:00,155.715,155.726,155.708,155.71,44
2025.12.12 04:21:00,155.711,155.741,155.711,155.74,43
2025.12.12 04:22:00,155.738,155.743,155.726,155.735,45
2025.12.12 04:23:00,155.735,155.74,155.722,155.735,30
2025.12.12 04:24:00,155.737,155.737,155.708,155.71,37
2025.12.12 04:25:00,155.71,155.725,155.708,155.725,33
2025.12.12 04:26:00,155.725,155.726,155.721,155.725,26
2025.12.12 04:27:00,155.725,155.725,155.712,155.713,20
2025.12.12 04:28:00,155.712,155.712,155.701,155.709,40
2025.12.12 04:29:00,155.71,155.722,155.71,155.714,25
2025.12.12 04:30:00,155.713,155.713,155.687,155.698,37
2025.12.12 04:31:00,155.698,155.709,155.696,155.697,50
2025.12.12 04:32:00,155.697,155.698,155.686,155.686,23
2025.12.12 04:33:00,155.686,155.689,155.677,155.685,23
2025.12.12 04:34:00,155.685,155.695,155.683,155.683,30
2025.12.12 04:35:00,155.683,155.693,155.682,155.687,15
2025.12.12 04:36:00,155.688,155.69,155.677,155.678,31
2025.12.12 04:37:00,155.677,155.691,155.676,155.682,22
2025.12.12 04:38:00,155.682,155.682,155.661,155.666,41
2025.12.12 04:39:00,155.666,155.666,155.66,155.661,26
2025.12.12 04:40:00,155.661,155.668,155.66,155.667,26
2025.12.12 04:41:00,155.667,155.671,155.659,155.663,20
2025.12.12 04:42:00,155.662,155.668,155.66,155.663,28
2025.12.12 04:43:00,155.663,155.68,155.663,155.677,42
2025.12.12 04:44:00,155.678,155.682,155.674,155.677,31
2025.12.12 04:45:00,155.676,155.695,155.673,155.695,45
2025.12.12 04:46:00,155.696,155.723,155.681,155.722,49
2025.12.12 04:47:00,155.722,155.728,155.714,155.719,52
2025.12.12 04:48:00,155.719,155.72,155.702,155.703,24
2025.12.12 04:49:00,155.703,155.706,155.686,155.703,47
2025.12.12 04:50:00,155.702,155.705,155.693,155.694,49
2025.12.12 04:51:00,155.695,155.697,155.682,155.693,45
2025.12.12 04:52:00,155.69,155.69,155.684,155.686,34
2025.12.12 04:53:00,155.686,155.692,155.683,155.686,25
